2026-07-12 13:18:40,540 | INFO | Starting rowing performance analyzer
2026-07-12 13:18:40,583 | INFO | Simulation complete.
2026-07-21 11:28:49,694 | INFO | Generating simulation
2026-07-21 11:29:37,416 | INFO | Part 2 completed.
2026-07-21 11:33:10,005 | INFO | Generating simulation
2026-07-21 11:33:36,788 | INFO | Part 2 completed.
2026-07-21 11:33:51,057 | INFO | Generating simulation
2026-07-21 11:33:55,918 | INFO | Part 2 completed.
2026-07-21 11:37:16,701 | INFO | Generating simulation...
2026-07-21 11:37:33,715 | INFO | Analysis Complete
2026-07-21 11:41:44,693 | INFO | Generating simulation...
2026-07-21 11:41:55,131 | INFO | Analysis Complete
2026-07-22 10:58:19,206 | INFO | Loading data...
2026-07-22 11:04:52,651 | INFO | Loading data...
2026-07-22 11:05:10,387 | INFO | Finished.
2026-07-22 11:11:30,989 | INFO | Loading data...
2026-07-22 11:11:41,348 | INFO | Finished.
2026-07-23 11:03:10,201 | INFO | Loading data...
2026-07-23 11:03:38,023 | INFO | Finished.
2026-07-23 11:10:15,917 | INFO | Loading rowing data.
2026-07-23 11:10:15,944 | INFO | Running real per-stroke analysis.
2026-07-23 11:10:15,970 | INFO | Focused per-stroke analysis completed.
